product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Ayakkabix Spor Ayakkabı Erkek & Bayan & Çocuk Günlük,99.0,199.0,50,freeShipping,0,0,ayakkabix,98,1
Muggo MGPARKER Unisex Sneaker Günlük Yürüyüş Spor Ayakkabı,75.0,139.0,46,noShipping,0,0,deparshoes,100,1
Kinetix RUBY Beyaz Kadın Spor Ayakkabı,72.0,129.0,45,freeShipping,0,0,FLO,94,1
Muggo MGFORCE01 Unisex Hafif Günlük Spor Yürüyüş Ayakkabısı,66.0,99.0,34,noShipping,0,0,deparshoes,100,1
Erkek Kadın Spor Ayakkabı Günlük 4 Renk,89.0,299.0,70,freeShipping,0,0,Ayakkabıhobim,100,1
Ayakkabı Yağmurluğu DRY STEP,89.0,0.0,0,freeShipping,0,0,Petza,100,1
Nike Basketbol Topu Baller 8p 32.855.07,99.0,199.0,50,freeShipping,0,0,T-Sport,79,1
Free Marka 6040 Günlük Rahat Erkek Spor Ayakkabı,99.0,149.0,34,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Keten Bilekli Erkek Kadın Spor Ayakkabı 6 Renk,84.0,119.0,29,freeShipping,0,0,Ayakkabıhobim,100,1
İlgipark  Kadın Günlük Hafif Cırtlı Siyah Yürüyüş Spor Ayakkabı,89.0,159.0,44,freeShipping,0,0,ilgipark,100,1
Khayt Classic Memory System Günlük Erkek&Kadın Spor Ayakkabı,84.0,169.0,50,freeShipping,0,0,Oncaürün,98,1
Kinetix FLETCHER J 1FX Lacivert Erkek Çocuk Koşu Ayakkabısı,69.0,129.0,46,freeShipping,0,0,INSTREET,95,1
Modastar Unisex Siyah Keten Günlük Bilekli Spor Ayakkabı,65.0,122.0,46,noShipping,0,0,modastar,100,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI BEYAZ-SİYAH-KREM-MAVİ,89.0,139.0,36,freeShipping,0,0,kubilayshoes,85,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI BEYAZ-SİYAH-KREM-MAVİ,89.0,149.0,40,freeShipping,0,0,kubilayshoes,85,1
Kinetix ARINA M Lacivert Erkek Sneaker Ayakkabı,90.0,129.0,30,freeShipping,0,0,INSTREET,95,1
Kinetix SAGEL M 1FX Siyah Erkek Sneaker Ayakkabı,78.0,119.0,34,freeShipping,0,0,INSTREET,95,1
Muya 50615 Erkek Spor Ayakkabı Kışlık Günlük Ayakkabı,99.0,249.0,60,freeShipping,0,0,ModaFrato,100,1
Hercule Erkek Spor Ayakkabı Günlük Sneaker Rahat Giyim,99.0,194.0,49,freeShipping,0,0,HerculeShoes,100,1
LETOON 204HS ERKEK HALI SAHA - Lacivert,63.0,149.0,57,noShipping,0,0,Letoon,88,1
Khayt Aqua Air Cooled Bağsız Triko Rahat Erkek Günlük Spor Ayakka,84.0,199.0,58,noShipping,0,0,Oncaürün,98,1
Hercule Erkek Spor Ayakkabı Günlük Sneaker Rahat Giyim,89.0,169.0,47,freeShipping,0,0,HerculeShoes,100,1
